001,4.071580,0.934835,3.84565,0.87212,
002,3.144207,0.789708,3.25236,0.72030,
003,2.602111,0.675308,2.70549,0.68727,
004,2.251112,0.596916,2.14735,0.56515,
005,2.033218,0.545404,1.95694,0.51485,
006,1.893663,0.511287,1.90998,0.51606,
007,1.797434,0.488619,1.78819,0.48273,
008,1.725837,0.471587,1.80115,0.48091,
009,1.673804,0.457321,1.96236,0.50394,
010,1.625127,0.446080,1.78770,0.47000,
011,1.590382,0.437336,1.70368,0.45182,
012,1.549913,0.427301,1.67024,0.44970,
013,1.524866,0.420335,1.60789,0.42848,
014,1.496219,0.412931,1.72271,0.45667,
015,1.473452,0.408148,1.60188,0.42394,
016,1.453827,0.401680,1.67008,0.43576,
017,1.439306,0.398935,1.55626,0.40970,
018,1.420073,0.395306,1.73615,0.44121,
019,1.413536,0.391126,1.58224,0.42303,
020,0.921671,0.259517,1.15350,0.30818,
021,0.757166,0.214451,1.13324,0.29848,
022,0.649461,0.184026,1.15768,0.29697,
023,0.554465,0.158374,1.19306,0.30727,
024,0.458208,0.129644,1.26248,0.31000,
025,0.308775,0.079535,1.22604,0.29879,
026,0.268876,0.066881,1.22793,0.29788,
