001,0.143623,0.232474,0.244578,0.288258
002,0.041923,0.128243,0.269430,0.304558
003,0.034316,0.123714,0.168181,0.268337
004,0.031627,0.121115,0.173308,0.279505
001,1.326861,0.494887,1.295643,0.565952
002,1.136309,0.438358,1.131153,0.543012
003,1.074203,0.416756,1.173694,0.552671
004,1.037179,0.401901,1.165925,0.564443
001,1.014085,0.402331,1.142058,0.549955
001,3.361026,0.854839,3.303710,0.935484
001,3.336964,0.979578,3.281440,0.990945
001,1.457576,0.564341,1.249136,0.584365
001,1.304777,0.506383,1.159131,0.541503
002,1.221903,0.485430,1.126263,0.519167
003,1.190088,0.470436,1.174403,0.529731
004,1.183038,0.466637,1.106002,0.510715
005,1.154399,0.455102,1.095381,0.493209
