001,4.814813,0.995455,4.70327,0.99091,
001,4.117820,0.940107,3.35249,0.83879,
002,3.122358,0.787285,2.63229,0.67545,
003,2.566165,0.669370,2.28804,0.59606,
004,2.244275,0.593796,2.03023,0.53970,
005,2.033828,0.545279,1.93707,0.51121,
006,1.879363,0.504539,1.87540,0.50273,
007,1.757638,0.477556,1.77524,0.46030,
008,1.658119,0.452434,1.80868,0.47121,
009,1.583149,0.434091,1.75307,0.45485,
010,1.515610,0.416934,1.68251,0.44121,
001,1.462643,0.401961,1.66767,0.43364,
002,1.413298,0.389816,1.65294,0.42848,
003,1.363865,0.376954,1.60040,0.41848,
001,1.334834,0.372971,1.68473,0.42515,
002,1.304246,0.363852,1.58890,0.40970,
003,1.271011,0.354078,1.75049,0.44455,
004,1.246969,0.347818,1.71816,0.43970,
005,0.733194,0.209772,1.30363,0.33273,
006,0.566646,0.164779,1.29325,0.32455,
007,0.467655,0.136725,1.31143,0.32212,
008,0.395151,0.116116,1.33154,0.32061,
009,0.312905,0.089393,1.34447,0.31364,
010,0.298543,0.086201,1.34544,0.31576,
011,0.285367,0.083102,1.34782,0.31364,
012,0.274741,0.079452,1.35723,0.31000,
013,0.274469,0.079369,1.35199,0.31455,
