001,263.126377,407.205322
001,0.650793,0.646028
002,0.497861,0.282631
003,0.524959,0.380186
004,0.460673,0.299350
005,0.407889,0.247052
001,0.182302,0.117161
002,0.115903,0.095391
003,0.103515,0.084863
004,0.096764,0.097329
001,0.084814,0.047079
001,0.050306,0.032571,0.645161,0.772727
001,0.043258,0.055119,0.599817,0.655152
002,0.038874,0.045860,0.587485,0.643939
003,0.036969,0.038933,0.583492,0.653030
001,5.978530,0.919355,7.602519,0.951613
001,2.482766,0.526708,1.233887,0.493939
001,0.135227,0.418442,0.071810,0.492727
002,0.079108,0.369488,0.069903,0.461818
003,0.068222,0.344990,0.080278,0.456061
004,0.063102,0.332647,0.064124,0.436364
005,0.059578,0.320627,0.065312,0.430606
001,0.056884,0.311705,0.071847,0.450606
001,0.052430,0.300434,0.059311,0.417576
002,0.052023,0.298468,0.062838,0.419697
003,0.051570,0.296410,0.056582,0.423333
001,0.052036,0.299435,0.063897,0.419394
002,0.051775,0.296274,0.081958,0.440606
003,0.051416,0.295453,0.059335,0.424848
001,0.095460,0.348192,0.067906,0.399697
002,0.044826,0.251344,0.042680,0.359394
003,0.039968,0.233563,0.045566,0.362121
004,0.037514,0.225369,0.042579,0.342424
005,0.035992,0.218995,0.038765,0.350909
006,0.034850,0.215294,0.039516,0.358182
007,0.028484,0.198345,0.035892,0.341212
001,1.245375,0.341288,0.940261,0.388788
002,1.047698,0.266681,0.907470,0.371212
003,0.980782,0.246904,0.867734,0.361212
004,0.918102,0.237691,0.861825,0.355152
001,0.877866,0.229445,0.839590,0.356061
002,0.854137,0.222874,0.822967,0.345455
003,0.835597,0.216697,0.843715,0.353636
004,0.822833,0.213599,0.865130,0.369091
005,0.772403,0.200726,0.729332,0.334545
006,0.766029,0.198896,0.740101,0.334848
007,0.762604,0.199280,0.755181,0.332121
